SST,Salinity,Chlorophyll,Coral_Health
26.069416,34.804897,1.4291825,0.54706305
25.784094,34.808132,2.7975972,0.6537745
26.18707,34.6954,1.6593463,0.8426456
26.358097,35.531536,1.0219613,0.8296181
26.123661,35.0119,1.6637326,0.8680056
26.95693,35.25076,0.86117697,0.7210825
25.192404,34.627476,1.4434069,0.5312333
25.655025,34.557182,1.4917068,1.0
26.85044,35.0245,1.7288709,0.8562182
26.551804,35.275753,1.5560431,0.4463003
25.9633,35.226543,1.6348722,0.48931575
27.214617,34.780888,1.3306777,0.8446938
24.516932,35.05667,1.9524066,0.86843926
25.878963,35.14042,1.5842896,0.61571145
26.419386,35.082897,1.4227026,0.8214107
27.503063,34.92613,1.4686462,0.4360342
26.742193,34.81471,1.5745922,1.0
26.052288,35.19752,1.583784,0.7845377
24.887243,35.194126,0.92992884,0.71757305
27.597412,34.63386,1.209601,0.74019456
25.127474,34.92955,1.3642448,0.65246236
27.201275,34.642334,1.0765386,1.0
25.467373,34.67465,1.2221183,0.7296793
26.828657,34.707645,1.1424352,0.44691268
26.060556,34.720856,1.2987248,0.7573169
25.272095,34.889202,1.0318532,0.6774343
25.394863,34.39636,1.0092028,0.8641588
25.601019,35.021862,1.572003,0.79859054
26.648073,35.0273,1.5294268,0.9616158
25.9032,35.566242,1.9170074,0.49384347
25.85623,34.400253,1.1673142,0.87226075
26.344107,34.799908,1.8718246,0.55127203
25.135506,35.022453,1.0625105,0.6204519
25.519474,35.539375,1.5872135,0.5830693
27.068125,35.118412,1.0380433,0.8439009
25.298618,35.244625,1.1628426,0.5104922
25.640322,34.91029,1.4071425,0.7102411
25.201273,34.797787,1.8035307,0.5819202
25.546967,34.982395,1.132592,0.780323
25.927898,35.398617,0.9713936,0.37464392
27.932255,34.548744,1.2104137,0.88323593
24.964897,35.084526,1.0333599,0.40616235
25.319656,35.210346,1.1872222,0.4781142
26.129288,34.79748,1.1364179,0.62232184
24.073011,34.95903,1.4009497,0.7042402
25.57655,35.2934,1.0309643,0.69442713
25.22953,34.91529,1.4548674,0.8907244
26.881008,35.522415,1.5252786,0.55065745
27.392647,35.09961,1.2461299,1.0
23.853388,35.213905,1.221204,0.7917979
26.281736,35.201935,1.7086554,0.56427044
27.741476,35.143097,1.8743497,0.87282974
28.203844,35.151024,0.8955202,0.93589467
27.531141,34.93991,1.1367395,0.61175895
26.512362,35.159397,1.35928,1.0
26.565489,34.41885,1.6058689,0.91757834
26.879862,35.489994,1.2893053,0.69702077
24.728565,34.900036,1.7111375,0.5829138
26.283215,35.342236,1.7000958,1.0
26.978056,35.358868,1.4714702,0.8847844
26.667559,35.253128,1.334531,0.55714834
24.582197,34.921455,0.99615824,0.78318816
25.398811,34.79086,1.8669665,0.6260501
26.670181,34.84066,1.6182808,0.6492256
25.53826,34.683052,1.066624,0.5720331
25.169222,35.271614,1.4381802,0.8076317
23.643501,34.829838,1.378813,0.63568574
24.525713,35.075283,1.0607837,0.9616952
28.040281,34.702446,1.6697847,0.6140715
26.216904,35.00915,1.3740975,0.72682476
26.073011,34.759052,1.219001,0.8460512
25.323273,35.16736,1.1841427,0.6740199
25.233477,35.32917,1.260542,0.5678093
26.428324,35.041817,0.8580568,0.95128393
25.33679,35.092052,1.3910903,0.3968176
25.837423,34.971046,1.7081095,0.5132527
26.950232,34.99406,1.7091582,0.6740651
25.924726,35.14507,1.7936624,0.88212156
26.477533,35.23246,1.2737609,0.46908072
26.580256,35.011936,1.326528,0.8320326
27.293873,34.73613,1.2470611,0.66266316
26.627722,35.157017,1.1031623,0.1406575
26.125097,34.623257,1.1721524,0.7227233
26.985674,34.8169,1.3033717,0.80295765
26.816492,34.999836,1.3055938,0.62168986
25.243017,34.723534,1.6240132,0.5910183
26.697462,35.21348,0.96585965,0.45743063
25.738073,35.114563,1.6471779,0.90995914
25.570988,34.506096,1.4407523,0.63802296
25.292307,34.32226,1.3225957,0.6780349
24.872221,34.843723,1.3488548,0.48590693
24.94839,34.832752,1.0329313,0.64985347
25.366096,34.712402,1.4992691,0.72452414
24.687553,34.743397,0.8648149,0.5021357
24.412992,34.6176,1.3674594,1.0
25.011927,35.50243,1.2114794,0.28610563
27.179485,34.927315,1.5677123,0.5264363
24.492733,35.21089,0.9630117,0.95699537
27.057148,34.746723,0.99193615,0.7465544
25.949001,34.870598,1.1962881,0.67313075
26.341553,35.294453,1.0242426,0.60493994
26.850372,34.443665,1.522912,0.95544547
25.793541,35.09198,0.9305803,0.6458421
26.822384,35.339733,1.0838624,0.8815122
28.745272,35.112957,1.1165439,0.8874143
28.006374,34.531845,1.0083052,0.513233
26.960009,34.89944,1.1064492,0.6057861
26.663643,35.29927,1.3252321,0.71654236
24.121,34.73341,1.681155,0.403894
24.817286,35.38752,1.1839234,0.56447726
